,Movie Title,Rating,Year,Duration,Movie Type
0,The Shawshank Redemption,"<div class=""inline-block ratings-imdb-rating"" data-value=""9.3"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>9.3</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span class=""runtime"">142 min</span>","<span class=""genre"">
Drama            </span>"
1,The Godfather,"<div class=""inline-block ratings-imdb-rating"" data-value=""9.2"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>9.2</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1972)</span>","<span class=""runtime"">175 min</span>","<span class=""genre"">
Crime, Drama            </span>"
2,The Dark Knight,"<div class=""inline-block ratings-imdb-rating"" data-value=""9"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>9.0</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(2008)</span>","<span class=""runtime"">152 min</span>","<span class=""genre"">
Action, Crime, Drama            </span>"
3,The Godfather Part II,"<div class=""inline-block ratings-imdb-rating"" data-value=""9"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>9.0</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1974)</span>","<span class=""runtime"">202 min</span>","<span class=""genre"">
Crime, Drama            </span>"
4,Schindler's List,"<div class=""inline-block ratings-imdb-rating"" data-value=""9"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>9.0</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1993)</span>","<span class=""runtime"">195 min</span>","<span class=""genre"">
Biography, Drama, History            </span>"
5,The Lord of the Rings: The Return of the King,"<div class=""inline-block ratings-imdb-rating"" data-value=""9"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>9.0</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(2003)</span>","<span class=""runtime"">201 min</span>","<span class=""genre"">
Action, Adventure, Drama            </span>"
6,12 Angry Men,"<div class=""inline-block ratings-imdb-rating"" data-value=""9"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>9.0</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1957)</span>","<span class=""runtime"">96 min</span>","<span class=""genre"">
Crime, Drama            </span>"
7,Pulp Fiction,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.9"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.9</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span class=""runtime"">154 min</span>","<span class=""genre"">
Crime, Drama            </span>"
8,The Lord of the Rings: The Fellowship of the Ring,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.8"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.8</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(2001)</span>","<span class=""runtime"">178 min</span>","<span class=""genre"">
Action, Adventure, Drama            </span>"
9,Inception,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.8"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.8</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(2010)</span>","<span class=""runtime"">148 min</span>","<span class=""genre"">
Action, Adventure, Sci-Fi            </span>"
10,Fight Club,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.8"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.8</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1999)</span>","<span class=""runtime"">139 min</span>","<span class=""genre"">
Drama            </span>"
11,Forrest Gump,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.8"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.8</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1994)</span>","<span class=""runtime"">142 min</span>","<span class=""genre"">
Drama, Romance            </span>"
12,The Lord of the Rings: The Two Towers,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.8"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.8</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(2002)</span>","<span class=""runtime"">179 min</span>","<span class=""genre"">
Action, Adventure, Drama            </span>"
13,"Il buono, il brutto, il cattivo","<div class=""inline-block ratings-imdb-rating"" data-value=""8.8"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.8</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1966)</span>","<span class=""runtime"">161 min</span>","<span class=""genre"">
Adventure, Western            </span>"
14,Jai Bhim,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.8"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.8</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(2021)</span>","<span class=""runtime"">164 min</span>","<span class=""genre"">
Crime, Drama, Mystery            </span>"
15,GoodFellas,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.7"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.7</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1990)</span>","<span class=""runtime"">145 min</span>","<span class=""genre"">
Biography, Crime, Drama            </span>"
16,The Matrix,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.7"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.7</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1999)</span>","<span class=""runtime"">136 min</span>","<span class=""genre"">
Action, Sci-Fi            </span>"
17,One Flew Over the Cuckoo's Nest,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.7"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.7</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1975)</span>","<span class=""runtime"">133 min</span>","<span class=""genre"">
Drama            </span>"
18,The Empire Strikes Back,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.7"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.7</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1980)</span>","<span class=""runtime"">124 min</span>","<span class=""genre"">
Action, Adventure, Fantasy            </span>"
19,Interstellar,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.6"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.6</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(2014)</span>","<span class=""runtime"">169 min</span>","<span class=""genre"">
Adventure, Drama, Sci-Fi            </span>"
20,Saving Private Ryan,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.6"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.6</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1998)</span>","<span class=""runtime"">169 min</span>","<span class=""genre"">
Drama, War            </span>"
21,The Silence of the Lambs,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.6"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.6</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1991)</span>","<span class=""runtime"">118 min</span>","<span class=""genre"">
Crime, Drama, Thriller            </span>"
22,Se7en,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.6"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.6</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1995)</span>","<span class=""runtime"">127 min</span>","<span class=""genre"">
Crime, Drama, Mystery            </span>"
23,Star Wars,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.6"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.6</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1977)</span>","<span class=""runtime"">121 min</span>","<span class=""genre"">
Action, Adventure, Fantasy            </span>"
24,The Green Mile,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.6"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.6</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(1999)</span>","<span class=""runtime"">189 min</span>","<span class=""genre"">
Crime, Drama, Fantasy            </span>"
25,Sen to Chihiro no kamikakushi,"<div class=""inline-block ratings-imdb-rating"" data-value=""8.6"" name=""ir"">
<span class=""global-sprite rating-star imdb-rating""></span>
<strong>8.6</strong>
</div>","<span class=""lister-item-year text-muted unbold"">(2001)</span>","<span class=""runtime"">125 min</span>","<span class=""genre"">
Animation, Adventure, Family            </span>"
